"year","title","abstract","journal","doi"
"2023","Cover Art | Bloomer Artist Statement","Artist Statement for Catalyst cover art """"Bloomer""""","",""
"2023","Mix, Match, and Start From Scratch","","",""
"2023","A backcasting exercise","          ","",""
"2023","Looking backward","","",""
"2024","The new conglomerates","","",""
"2024","Super-Vision: Tracing EPFL History Through 8,000 Doctoral Theses","","",""
"2024","The failure-speed ethos: notes from a glocal startup scene","","",""
"2024","To know is to compare","","",""
"2024","Strategies and Tactics","","",""
"2024","Title","","",""
"2024","Sensitive Subjects","","",""
"2024","Searching for sentience","","",""
"2024","Is LaMDA sentient?","","",""
"2024","Correction to: Jumping into the artistic deep end: building the catalogue raisonné","","",""
"2024","Poisoning an already poisoned well","","",""
"2024","Hunters not beggars","","",""
"2024","The galloping editor","","",""
"2024","Reading vs. Scanning: Notes on Re:Print","","",""
"2024","The need of raw physiological data for more comprehensive pain studies","","",""
"2024","‘Worldview’ of the AIGC systems: stability, tendency and polarization","","",""
"2024","A note from the editors","","",""
"2024","Editors' reflections","","",""
"2024","Limn","","",""
"2024","Dust, Foam, Waste","Traces on the sea.","",""
"2024","The Tighty-Whities Test","Why are farmers burying underwear in their fields?","",""
"2024","Is Limn Obsolete?","The founding editors reflect on the journal’s origins.","",""
"2024","Preface: Obsolescence","","",""
